Temperatura_Max (°C),Temperatura_Min (°C),Precipitación (mm),Humedad_Relativa (%),Velocidad_Viento (km/h),Radiación_Solar (MJ/m²),pH_Suelo,Nitrógeno_Suelo (ppm),Fósforo_Suelo (ppm),Potasio_Suelo (ppm),Altura_Planta (cm),Diámetro_Tallo (mm),Tamaño_Hojas (cm²)
32.725916028406395,14.944908338783357,35.60527877809187,39.93357226482089,8.989483113973042,19.922539278651534,5.946146529420602,47.91566879407885,41.15977170610776,90.71879188642458,124.41946973874008,11.868401000494629,214.69150519834776
23.30944065189826,10.692518228380647,99.02650377094943,42.20408387321749,18.921188055928248,8.431032486046782,7.306794171860735,66.47302546568616,84.70799168206375,226.19804662432747,121.89770854056968,16.32671345959528,296.6120117195174
15.53450392134984,22.857451721077652,94.02108002218927,58.120909507474266,17.987824393634057,15.341683633416807,5.434718455832731,26.03653516002611,31.05211600482256,280.6552417649134,181.45239760263567,15.438326933794912,165.36141997236294
28.844002614696436,18.663524064440285,85.62045650841152,87.15152377283414,16.88550755162934,13.167670002044511,7.188318935157399,82.38575440600708,13.039282734171131,215.7858569988224,160.82332036538196,17.294168891313728,419.55693184415725
20.602485369670244,11.122057968372633,45.82609660089866,35.69894496226478,18.60062921499543,12.151602985714574,5.460220291687586,53.0235613061542,35.93967735404402,90.17586609937011,163.7813334517009,8.92987351309582,220.57826697746967
24.293581497050287,19.096590851718524,11.466401628666379,68.53881285120748,9.04958762325341,5.778637860020002,7.499833991279172,28.33958148685154,2.148312549308562,186.82845680451743,175.32872590155594,14.885690197399967,450.5969866191704
27.34330135712142,24.749331112947214,36.2628975089455,56.60264256071864,16.780957769738922,10.238874925719916,6.729423193959372,69.27937329975833,94.72725523275165,95.16495114677895,86.06295116710211,10.539875693994336,87.98935071566228
29.21180685544815,24.538602116555637,97.39512817180017,43.19849017666204,5.679273637572459,1.4797320842080297,7.392208930927183,57.189040492640466,26.764826315537917,263.5858971008408,147.61638110872923,8.825603221093644,159.4717645962392
26.897886261840455,21.278842798303966,98.33049986765631,55.83438866391671,19.3907671106816,5.539746535100473,6.42025499994626,1.8419751131642625,14.905840707131713,194.56438380775734,158.73469890429223,9.42209372964847,197.6929398014322
24.856015528250886,21.92796923918468,47.09346037701748,75.72711396773487,4.321355933865714,10.706475604593797,5.583871146392538,118.76058423530016,34.497107326361544,221.62690100537588,109.05188004310723,16.3373420157916,165.35065692839316
19.423968954969936,7.103445098108496,7.036370628642896,70.85842613830984,19.661829939818382,12.633404462656312,5.963918616023529,82.74567533403709,63.77590638438105,246.6005860886248,58.94532433879753,5.440962526549994,210.6803499823953
18.629894195745162,9.125470601067509,60.62033503752946,53.75182867442868,9.21924228428801,8.189176999205843,7.7731090262450735,101.48295296350194,33.61503222856904,252.40842375143947,155.81262224816027,12.966114306095609,209.42410481213267
